time="2018-07-24T14:21:54+05:30" level=info msg="Using In cluster config."
time="2018-07-24T14:21:54+05:30" level=info msg="unable to load in-cluster configuration, KUBERNETES_SERVICE_HOST and KUBERNETES_SERVICE_PORT must be defined"
time="2018-07-25T15:57:39+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:57:42+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:57:42+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:57:42+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:57:42+05:30" level=info msg="Uploading data"
time="2018-07-25T15:57:42+05:30" level=info msg="Read 0 from buffer\n"
time="2018-07-25T15:58:37+05:30" level=info msg="Data is posted successfully"
time="2018-07-25T15:58:37+05:30" level=info msg="Starting kubewatch controller"
time="2018-07-25T15:58:45+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:58:45+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:58:45+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:06+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:06+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:06+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:06+05:30" level=info msg="Uploading data"
time="2018-07-25T15:59:06+05:30" level=info msg="Read 0 from buffer\n"
time="2018-07-25T15:59:06+05:30" level=info msg="Starting kubewatch controller"
time="2018-07-25T15:59:06+05:30" level=info msg="Data is posted successfully"
time="2018-07-25T15:59:06+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:06+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:06+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:45+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:45+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:45+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:45+05:30" level=info msg="Starting kubewatch controller"
time="2018-07-25T15:59:45+05:30" level=info msg="Uploading data"
time="2018-07-25T15:59:45+05:30" level=info msg="Read 0 from buffer\n"
time="2018-07-25T15:59:45+05:30" level=info msg="Data is posted successfully"
time="2018-07-25T15:59:45+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:45+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:45+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:55+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Uploading data"
time="2018-07-25T15:59:55+05:30" level=info msg="Read 0 from buffer\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Data is posted successfully"
time="2018-07-25T15:59:55+05:30" level=info msg="Start Position = 0\n"
time="2018-07-25T15:59:55+05:30" level=info msg="End Position = 0\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Buffer Size = 2000\n"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-callback/sym-inventory-service-190-68d4fc6ddc-55qxw"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: tgjul24-4/symphony-2757-8989d6967-gp7kt"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: sirao-test/vrbc-cost-analysis-deployment-1-1-1123-6b8fcc648c-d6l5w"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: tgjul24-4/sym-inventory-service-190-67997c4dc6-wgpr6"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: tgjul24-4/sym-inventory-service-190-67997c4dc6-2v5q2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: qz-sym-0/heimdall-data-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: be-84/provisioning-ui-85b77655cd-npsjk"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-proxy-ip-172-20-46-237.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/li-agent-gmvds"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kmcdonough/cerebro-63-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-28-krastevap/cerebro-63-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kmcdonough/provisioning-ui-6b869498f7-kvmrs"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: be-84/heimdall-data-0"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: tarakesh-test/lemans-resources-465-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/li-agent-7bkzw"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: tarakesh-test/lemans-gateway-64fc87fcb9-zdnnt"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-32-akracheva/sym-inventory-service-190-84cd88889-5t8b9"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: buma/heimdall-77854896d-2fzhz"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: kube-system/kube-apiserver-ip-172-20-37-37.us-west-1.compute.internal"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: junweili/cerebro-68-1"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: be-84/heimdall-5549554d77-4n9rm"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-callback/automation-ui-59d85dc88d-vxs2g"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-28-krastevap/deployment-ui-795d7bddb4-vhdjr"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: ssinghvi-test-lemans/lemans-resources-473-2"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: jenkins-deploy-symphony-selfserve-25-hstancheva/sym-inventory-service-190-699798b587-g76c8"
time="2018-07-25T15:59:55+05:30" level=info msg="Processing add to pod: abx-inventory-it/provisioning-service-promoted-dev-5cf468c956-qf6q8"
